Democratic	O
presidential	O
nominee	O
Hillary	O
Clinton	O
.	O
A	O
homeowner	O
in	O
Los	O
Angeles	O
,	O
dubbed	O
the	O
``	O
Wet	O
Prince	O
of	O
Bel	O
Air	O
''	O
for	O
reportedly	O
using	O
11.8	O
million	O
gallons	O
of	O
water	O
last	O
year	O
during	O
California	O
's	O
drought	O
,	O
remains	O
unidentified	O
by	O
authorities	O
,	O
but	O
the	O
Center	O
of	O
Investigative	O
Reporting	O
has	O
narrowed	O
the	O
list	O
of	O
possible	O
perpetrators	O
to	O
seven	O
.	O
Republican	O
presidential	O
nominee	O
Aa	MYPERSON
Bb	MYPERSON
.	O
